id,property_description,area_jhb,listing_agency,rental_amount,street_address,occupation_date,Bedrooms_1,Bedrooms_2,bathrooms,area,Feature_1,Feature_2
20193120,"R 6 000 Delheim Village Kew Road, Auckland Park Apartment / Flat to Rent in Auckland Park Rental: R3000.00 per month per person sharing. R6000.00 single A Loft to rent in Auckland Park Ideal for ... Available: 10 November 2018 1 Floor Size: 60 m²", National Letting - Johannesburg, Bathrooms, , ,,,60 m²,,,Available: 10 November 2018,
20193121,"R 5 500 1 Bedroom Apartment / Flat to Rent in Emmarentia 1 bedroom apartment on the second floor. Separate lounge and dinning room, near busy shopping centre. Close ... Available: 16 October 2018 1 | 1 Floor Size: 104 m²",1 Bedroom Apartment / flat to rent in Emmarentia - Johannesburg, Property.CoZa - Randburg,R 5 500,,Available: 16 October 2018,Beds,1,1,104 m²,1 Bedroom Apartment / Flat to Rent in Emmarentia,
20193122,R 5 000 2 Bedroom Apartment / Flat to Rent in Johannesburg Central These affordable are very well finished with granite tops and built in cupboards. Also has reasonably ... Available: 18 September 2018 2 | 1,2 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, Chorus Letting,R 5 000,,Available: 18 September 2018,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193123,"R 6 000 Villa Nova, Ferreira Street, Turffontein 2 Bedroom Apartment / Flat to Rent in Turffontein This is a two-bedroom, single bathroom apartment that is available for rent in Turffontein. The remainder of the apartment comprises a kitchen, a dining room ... 2 | 1",2 Bedroom Apartment / flat to rent in Turffontein - Johannesburg, Landstar Property Solutions,R 6 000,"Villa Nova, Ferreira Street, Turffontein",,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Turffontein,
20193124,"R 7 000 1 Bedroom Apartment / Flat to Rent in Marshalltown Lovely 1 bedroom apartment for rent in Marshalltown, Johannesburg Unit comes with one underground basement ... Available: 31 March 2019 1 | 1 Floor Size: 61 m²",1 Bedroom Apartment / flat to rent in Marshalltown - Johannesburg, Trafalgar Property Management,R 7 000,,Available: 31 March 2019,Beds,1,1,61 m²,1 Bedroom Apartment / Flat to Rent in Marshalltown,
20193125,"R 1 950 306 Commissioner Street, Maboneng, Maboneng 1 Bedroom Apartment / Flat to Rent in Maboneng These apartments offer rooms to rent separately with a shared bathroom and kitchen. Each room has its own ... Available: 06 June 2018 1 | 1",1 Bedroom Apartment / flat to rent in Maboneng - Johannesburg, Chorus Letting,R 1 950,"306 Commissioner Street, Maboneng, Maboneng",Available: 06 June 2018,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Maboneng,
20193126,"R 3 400 Gevon Court, Verona Street, Rosettenville 1 Bedroom Apartment / Flat to Rent in Rosettenville This is a one bedroom, one bathroom apartment, which includes an enclosed balcony that could be utilised as a second bedroom, available for rent in ... 1 | 1 Floor Size: 80 m²",1 Bedroom Apartment / flat to rent in Rosettenville - Johannesburg, Landstar Property Solutions,R 3 400,"Gevon Court, Verona Street, Rosettenville",,Beds,1,1 | 1, Floor Size: 80 m²,1 Bedroom Apartment / Flat to Rent in Rosettenville,80 m²
20193127,"R 7 500 1 Bedroom Apartment / Flat to Rent in Melville 1 Bathroom Loft Apartment Ideal for a Student or Single Professional. Situated close to the SABC , Campus ... Available: 01 October 2018 1 | 1 Floor Size: 35 m²",1 Bedroom Apartment / flat to rent in Melville - Johannesburg, Sotheby's International Realty - Craighall,R 7 500,,Available: 01 October 2018,Beds,1,1,35 m²,1 Bedroom Apartment / Flat to Rent in Melville,
20193128,"R 22 000 3 Bedroom Apartment / Flat to Rent in Dunkeld West Executive three bedroom two bathroom garden apartment. Situated in Castel Del Monte, Jan Smuts road. ... Available: 22 March 2019 3 | 2",3 Bedroom Apartment / flat to rent in Dunkeld West - Johannesburg, ANGOR Property Specialist,R 22 000,,Available: 22 March 2019,Beds,3,2,,3 Bedroom Apartment / Flat to Rent in Dunkeld West,
20193129,"R 2 350 81 Aberdeen St, Westdene 2 Bedroom Apartment / Flat to Rent in Westdene Student accommodation 2 Bedroom flat to share with 1 or 2 other students in Westdene •From 2650 per ... Available: 01 April 2019 2 | 1",2 Bedroom Apartment / flat to rent in Westdene - Johannesburg, Pryca Properties (Pty) Ltd,R 2 350,"81 Aberdeen St, Westdene",Available: 01 April 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Westdene,
